agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd
USGS,3171000,63,1945-09-20,,Yes,CAS,USGS,4.49,11500,Good,,,,NONE
USGS,3171000,64,1945-10-30,,Yes,CAS/JSC,USGS,2.53,2930,Fair,,,Clear,NONE
USGS,3171000,65,1945-11-21,,Yes,JSC,USGS,2.79,3810,Fair,,,Clear,NONE
USGS,3171000,66,1945-12-19,,Yes,JSC,USGS,3.05,5030,Fair,,,Clear,NONE
USGS,3171000,67,1946-01-23,,Yes,JSC/SGA,USGS,3.42,6900,Good,,,Clear,NONE
USGS,3171000,68,1946-02-20,,Yes,SGA,USGS,4.25,10600,Fair,,,Clear,NONE
USGS,3171000,69,1946-03-13,,Yes,JSC,USGS,3.55,7210,Fair,,,Clear,NONE
USGS,3171000,70,1946-04-10,,Yes,SGA,USGS,2.97,4380,Poor,,,Clear,NONE
USGS,3171000,71,1946-05-15,,Yes,SGA,USGS,1.58,767,Poor,,,Clear,NONE
USGS,3171000,72,1946-06-21,,Yes,JSC/SGA,USGS,1.64,730,Good,,,,NONE
USGS,3171000,73,1946-07-26,,Yes,JSC,USGS,2.99,4610,Good,,,Clear,NONE
USGS,3171000,74,1946-08-08,,Yes,SGA,USGS,3.17,5710,Good,,,Clear,NONE
USGS,3171000,75,1946-09-05,,Yes,JSC,USGS,2.68,3490,Fair,,,Clear,NONE
USGS,3171000,76,1946-10-04,,Yes,ARG/SGA,USGS,2.08,1650,Good,,,Clear,NONE
USGS,3171000,77,1946-11-06,,Yes,JSC,USGS,2.77,3650,Good,,,Clear,NONE
USGS,3171000,78,1947-01-08,,Yes,JSC,USGS,3,4780,Fair,,,Clear,NONE
USGS,3171000,79,1947-03-11,,Yes,JSC,USGS,3.2,5740,Fair,,,Clear,NONE
USGS,3171000,80,1947-04-09,,Yes,SGA,USGS,3.39,6360,Poor,,,Clear,NONE
USGS,3171000,81,1947-05-08,,Yes,JSC,USGS,3.23,5810,Fair,,,Clear,NONE
USGS,3171000,82,1947-06-19,,Yes,SGA/JSC,USGS,3.58,7330,Good,,,Clear,NONE
USGS,3171000,83,1947-07-14,,Yes,SGA,USGS,2.72,3860,Fair,,,Clear,NONE
USGS,3171000,84,1947-08-11,,Yes,SGA,USGS,3.29,6290,Good,,,Clear,NONE
USGS,3171000,85,1947-09-10 8:15:00,EDT,Yes,SGA/JSC,USGS,1.61,703,Fair,,,Clear,NONE
USGS,3171000,86,1947-10-01,,Yes,JSC,USGS,2.82,4130,Good,,,Clear,NONE
USGS,3171000,87,1947-11-05,,Yes,SGA,USGS,4.31,10400,Fair,,,Clear,NONE
USGS,3171000,88,1947-12-03,,Yes,JSC,USGS,3.3,6120,Poor,,,Clear,NONE
USGS,3171000,89,1948-02-07,,Yes,SGA/JSC,USGS,3.79,8450,Fair,,,Clear,NONE
USGS,3171000,90,1948-03-03,,Yes,SGA,USGS,3.78,8010,Fair,,,Clear,NONE
USGS,3171000,91,1948-04-05,,Yes,SGA,USGS,4.23,10200,Good,,,Clear,NONE
USGS,3171000,92,1948-05-03,,Yes,SGA,USGS,4.14,9740,Fair,,,Clear,NONE
USGS,3171000,93,1948-07-12,,Yes,SGA,USGS,3.08,4820,Fair,,,Clear,NONE
USGS,3171000,94,1948-09-17,,Yes,JSC/SGA,USGS,1.55,637,Fair,,,Clear,NONE
USGS,3171000,95,1948-10-13,,Yes,JSC/SGA,USGS,1.8,1120,Good,,,Clear,NONE
USGS,3171000,96,1948-11-05,,Yes,JSC,USGS,2.15,1890,Poor,,,Clear,NONE
USGS,3171000,97,1948-12-01,,Yes,SGA,USGS,4.32,10600,Good,,,Clear,NONE
USGS,3171000,98,1949-01-04,,Yes,SGA,USGS,4.01,9340,Poor,,,Clear,NONE
USGS,3171000,99,1949-04-04,,Yes,SGA,USGS,4.02,9300,Fair,,,Clear,NONE
USGS,3171000,100,1949-05-05,,Yes,CHH,USGS,3.46,6810,Fair,,,Clear,NONE
USGS,3171000,101,1949-09-08,,Yes,SGA,USGS,4.17,9900,Good,,,Clear,NONE
USGS,3171000,102,1949-11-15,,Yes,CHH,USGS,3.1,5400,Fair,,,Clear,NONE
USGS,3171000,103,1950-01-09,,Yes,SGA,USGS,3.69,7880,Good,,,Clear,NONE
USGS,3171000,104,1950-05-17,,Yes,CHH,USGS,4.26,9860,Fair,,,Clear,NONE
USGS,3171000,105,1950-07-02,,Yes,SGA,USGS,2.64,3450,Good,,,Clear,NONE
USGS,3171000,106,1950-08-13,,Yes,CHH,USGS,2.03,1670,Good,,,,NONE
USGS,3171000,107,1950-09-25,,Yes,CHH,USGS,3.72,8390,Fair,,,Clear,NONE
